url,path,is_gallery,likely_hidden_from_google,indexability_policy,policy_note,gsc_indexed,gsc_verdict,gsc_coverage,source,page_type,category,csv_type
"https://www.alanranger.com","/","no","","","","","","","csv_metadata","landing","","landing_service_pages"
"https://www.alanranger.com/1-page-checklists","/1-page-checklists","no","","","","","","","csv_metadata","","","site_urls"
"https://www.alanranger.com/about-alan-ranger","/about-alan-ranger","no","","","","","","","csv_metadata","landing","landing","site_urls"
"https://www.alanranger.com/academy-robo-ranger","/academy-robo-ranger","no","","","","","","","csv_metadata","","","site_urls"
"https://www.alanranger.com/academy/ebook","/academy/ebook","no","","","","","","","csv_metadata","","","site_urls"
"https://www.alanranger.com/academy/login","/academy/login","no","","","","","","","csv_metadata","service","service","site_urls"
"https://www.alanranger.com/academy/online-photography-course","/academy/online-photography-course","no","","","","","","","csv_metadata","","","site_urls"
"https://www.alanranger.com/academy/photography-checklists","/academy/photography-checklists","no","","","","","","","csv_metadata","","","site_urls"
"https://www.alanranger.com/academy/photography-exams-certification","/academy/photography-exams-certification","no","","","","","","","csv_metadata","","","site_urls"
"https://www.alanranger.com/academy/photography-practice-packs","/academy/photography-practice-packs","no","","","","","","","csv_metadata","","","site_urls"
"https://www.alanranger.com/academy/photography-questions-answers","/academy/photography-questions-answers","no","","","","","","","csv_metadata","","","site_urls"
"https://www.alanranger.com/academy/robo-ranger","/academy/robo-ranger","no","","","","","","","csv_metadata","","","site_urls"
"https://www.alanranger.com/academy/trial-expired","/academy/trial-expired","no","","","","","","","csv_metadata","","","site_urls"
"https://www.alanranger.com/academy/upgrade","/academy/upgrade","no","","","","","","","csv_metadata","","","site_urls"
"https://www.alanranger.com/awards-and-qualifications","/awards-and-qualifications","no","","","","","","","csv_metadata","landing","landing","site_urls"
"https://www.alanranger.com/batsford-arboretum-photography","/batsford-arboretum-photography","no","","","","","","","csv_metadata","landing","landing","site_urls"
"https://www.alanranger.com/beginners-photography-classes","/beginners-photography-classes","no","","","","","","","event_table","event","service hub","site_urls"
"https://www.alanranger.com/beginners-photography-lessons","/beginners-photography-lessons","no","","","","","","","csv_metadata","","","site_urls"
